ID,POINT_X,POINT_Y,NBR_ACC,ACC_2022,ACC_2023,FATAL_ACC,SEVERE_ACC,SEV3_ACC,SEV4_ACC,NBR_INJ,NBR_KILLED
270,-118.3877926,34.19207382,1,1,1,0,1,0,0,1,0
569,-118.4287403,34.21650314,1,1,1,0,0,0,0,0,0
451,-118.4752773,34.25009155,1,1,1,0,0,0,0,0,0
829,-118.5469089,34.17248535,1,1,1,0,1,0,0,3,0
519,-118.3976233,34.19388962,1,1,1,0,0,0,0,0,0
972,-118.3976233,34.19388962,1,1,1,0,0,0,0,0,0
146,-118.2657221,34.03150559,3,3,3,0,0,1,1,2,0
233,-118.2812837,33.97466563,1,1,1,0,0,0,0,3,0
510,-118.4622585,34.15314865,1,1,1,0,0,1,1,1,0
881,-118.5351216,34.23548508,1,1,1,0,0,0,0,1,0
495,-118.5284722,34.20453644,1,1,1,0,0,0,0,0,0
82,-118.3878122,34.18302536,1,1,1,0,0,0,0,1,0
600,-118.3074338,34.05187225,1,1,1,0,0,0,0,0,0
607,-118.3181079,34.10525513,1,1,1,0,0,0,0,1,0
736,-118.3963421,33.94503021,1,1,1,0,0,0,0,0,0
290,-118.2872141,33.75115585,2,2,2,0,0,0,0,1,0
310,-118.6523366,34.17712402,1,1,1,0,0,0,0,0,0
356,-118.2576325,33.78023911,1,1,1,0,1,0,0,1,0
466,-118.3460621,34.02547455,1,1,1,0,0,0,0,0,0
193,-118.2327524,33.94310379,1,1,1,0,1,0,0,2,0
957,-118.562064,34.16275024,1,1,1,0,0,0,0,0,0
861,-118.3604625,34.03552628,1,1,1,0,0,0,0,2,0
87,-118.3096042,34.08953857,1,1,1,0,0,0,0,0,0
332,-118.3310721,34.10157394,1,1,1,0,0,1,1,1,0
366,-118.4410865,34.15863419,1,1,1,0,1,0,0,1,0
658,-118.2784622,34.0165863,1,1,1,0,0,1,1,1,0
493,-118.2198721,34.02427673,4,3,3,0,1,1,1,4,0
410,-118.2857621,33.72786331,1,1,1,0,1,0,0,2,0
686,-118.2652721,34.00816345,1,1,1,0,0,1,1,2,0
401,-118.2827292,33.95574188,1,1,1,0,0,1,1,1,0
674,-118.3181756,33.99809647,1,1,1,0,0,0,0,0,0
651,-118.3034722,34.08353424,2,1,1,0,1,0,0,1,0
459,-118.2842309,34.05335236,1,1,1,0,0,0,0,0,0
352,-118.3720984,34.02806854,1,1,1,0,0,0,0,0,0
728,-118.2641721,34.03342438,1,1,1,0,0,1,1,3,0
231,-118.3489821,33.98529434,1,1,1,0,0,0,0,0,0
899,-118.385849,33.95994186,1,1,1,0,0,1,1,3,0
441,-118.2543822,34.07545471,1,1,1,0,0,0,0,1,0
988,-118.3010339,34.04754257,1,1,1,0,0,0,0,0,0
764,-118.3140211,34.06331253,1,1,1,0,0,0,0,0,0
573,-118.2069234,34.03137207,1,1,1,0,0,0,0,0,0
32,-118.3091321,34.06352615,1,1,1,0,0,0,0,1,0
844,-118.4536698,34.18264389,1,1,1,0,0,0,0,0,0
724,-118.4410865,34.15863419,1,1,1,0,1,0,0,1,0
464,-118.4562738,34.2012558,1,1,1,0,0,0,0,0,0
574,-118.5885716,34.25256348,1,1,1,0,0,1,1,1,0
656,-118.2769724,34.04053497,1,1,1,0,0,0,0,0,0
911,-118.4138021,34.15761566,1,1,1,0,0,1,1,1,0
1,-118.3889922,34.27968597,1,1,1,0,0,0,0,0,0
151,-118.2594174,33.78068161,1,1,1,0,0,0,0,0,0
213,-118.4290822,34.18665314,1,1,1,0,0,0,0,0,0
125,-118.2544721,34.0459137,3,2,2,0,0,2,2,4,0
321,-118.3762221,34.05332565,1,1,1,0,0,1,1,4,0
686,-118.42415,34.3175621,1,1,1,0,0,0,0,0,0
672,-118.4138221,34.19395447,1,1,1,0,0,1,1,1,0
50,-118.2746785,34.00821304,1,1,1,0,0,0,0,0,0
109,-118.2625063,34.01972961,1,1,1,0,0,0,0,0,0
228,-118.2783121,33.98991013,1,1,1,0,0,0,0,0,0
169,-118.2916122,34.04422379,1,1,1,0,0,0,0,1,0
766,-118.217003,34.03223801,1,1,1,0,0,0,0,0,0
919,-118.2727122,34.06295395,2,2,2,0,0,1,1,2,0
376,-118.2727122,34.06295395,2,2,2,0,0,1,1,2,0
212,-118.1841649,34.12104416,1,1,1,0,1,0,0,1,0
922,-118.1780821,34.08447266,1,1,1,0,0,1,1,2,0
669,-118.2157119,34.07544708,1,1,1,0,0,0,0,0,0
607,-118.214402,34.07419968,1,1,1,0,0,0,0,0,0
523,-118.3352121,33.98057556,2,2,2,0,0,2,2,2,0
817,-118.3877926,34.19207382,1,1,1,0,1,0,0,1,0
1,-118.2390922,34.02761459,2,2,2,0,0,1,1,4,0
795,-118.2613322,34.02157593,1,1,1,0,0,0,0,1,0
117,-118.4287403,34.21650314,1,1,1,0,0,0,0,0,0
89,-118.1780421,34.07913208,1,1,1,0,0,0,0,0,0
463,-118.5975622,34.18286514,1,1,1,0,0,1,1,1,0
227,-118.2382119,34.04204941,1,1,1,0,1,0,0,2,0
577,-118.2197142,34.04722977,1,1,1,0,0,0,0,0,0
643,-118.6024817,34.17531967,1,1,1,0,0,0,0,0,0
809,-118.6024817,34.17531967,1,1,1,0,0,0,0,0,0
405,-118.2624021,34.0684433,1,1,1,0,0,1,1,1,0
925,-118.2695521,33.92466354,1,1,1,0,0,1,1,2,0
648,-118.4574822,34.23049164,1,1,1,0,0,0,0,0,0
234,-118.6015691,34.18734741,1,1,1,0,0,0,0,0,0
183,-118.6015691,34.18734741,1,1,1,0,0,0,0,0,0
12,-118.3415497,34.09069443,1,1,1,0,1,0,0,1,0
203,-118.4685301,34.0622139,1,1,1,0,0,0,0,0,0
503,-118.4836922,34.21857071,1,1,1,0,0,1,1,1,0
851,-118.3790722,34.21207428,1,1,1,0,0,0,0,0,0
94,-118.2745604,34.2435379,1,1,1,0,0,1,1,1,0
144,-118.5791516,34.23910523,1,1,1,0,0,1,1,1,0
794,-118.4622585,34.15314865,1,1,1,0,0,1,1,1,0
579,-118.2472322,34.04811478,2,2,2,0,0,1,1,3,0
661,-118.2712237,34.04329681,1,1,1,0,0,0,0,0,0
867,-118.5104422,34.17766571,1,1,1,0,0,1,1,1,0
799,-118.3892321,34.10149384,1,1,1,0,0,0,0,1,0
539,-118.4335752,34.04600143,1,1,1,0,0,1,1,1,0
946,-118.2929122,34.05773544,1,1,1,0,0,1,1,2,0
482,-118.2387356,33.99816132,1,1,1,0,1,0,0,1,0
771,-118.2783221,33.98238373,3,2,2,0,0,2,2,2,0
326,-118.2783221,33.98238373,3,2,2,0,0,2,2,2,0
521,-118.2564821,33.96527481,1,1,1,0,0,0,0,1,0
616,-118.2576325,33.78023911,1,1,1,0,1,0,0,1,0
570,-118.2892784,33.74238586,1,1,1,0,0,0,0,0,0
36,-118.2327524,33.94310379,1,1,1,0,1,0,0,2,0
272,-118.3285549,34.09799576,1,1,1,0,0,0,0,1,0
403,-118.3622322,34.13902664,1,1,1,0,0,0,0,0,0
541,-118.6232796,34.17193604,1,1,1,0,0,1,1,1,0
722,-118.4752773,34.25009155,1,1,1,0,0,0,0,0,0
215,-118.5791516,34.23910523,1,1,1,0,0,1,1,1,0
423,-118.2564821,33.96527481,1,1,1,0,0,0,0,1,0
496,-118.5399869,34.20838165,1,1,1,0,0,0,0,0,0
394,-118.2306806,33.78196335,1,1,1,0,1,0,0,2,0
511,-118.2306806,33.78196335,1,1,1,0,1,0,0,2,0
591,-118.6232796,34.17193604,1,1,1,0,0,1,1,1,0
312,-118.3205421,34.05909348,1,1,1,0,0,0,0,1,0
864,-118.4481874,34.29395676,1,1,1,0,0,0,0,0,0
480,-118.5284722,34.20453644,1,1,1,0,0,0,0,0,0
251,-118.3785421,34.03860474,1,1,1,0,0,0,0,0,0
464,-118.2913087,34.00548554,1,1,1,0,0,0,0,0,0
564,-118.3460621,34.02547455,1,1,1,0,0,0,0,0,0
105,-118.3380721,34.0961647,1,1,1,0,0,0,0,0,0
508,-118.3380721,34.0961647,1,1,1,0,0,0,0,0,0
26,-118.2965599,34.0724411,1,1,1,0,0,0,0,0,0
732,-118.4790862,34.05102921,1,1,1,0,0,1,1,1,0
54,-118.4612015,34.22831726,1,1,1,0,0,0,0,1,0
828,-118.2644294,34.02506256,1,1,1,0,0,0,0,0,0
63,-118.4142221,34.17212677,4,4,4,0,0,1,1,6,0
612,-118.4142221,34.17212677,4,4,4,0,0,1,1,6,0
888,-118.4580062,34.28410721,1,1,1,0,0,0,0,0,0
236,-118.3730121,34.20118332,1,1,1,0,0,0,0,0,0
687,-118.2827122,33.9519043,2,2,2,0,0,1,1,2,0
486,-118.2827122,33.9519043,2,2,2,0,0,1,1,2,0
535,-118.5186122,34.20853043,1,1,1,0,0,0,0,0,0
117,-118.3351221,34.01821518,2,2,2,0,0,0,0,3,0
661,-118.3113121,34.0326767,1,1,1,0,0,1,1,1,0
536,-118.4870176,34.19389343,1,1,1,0,0,1,1,1,0
487,-118.4870176,34.19389343,1,1,1,0,0,1,1,1,0
201,-118.2913158,33.72696686,1,1,1,0,0,0,0,0,0
425,-118.2631979,33.73268127,1,1,1,0,0,0,0,0,0
923,-118.2631979,33.73268127,1,1,1,0,0,0,0,0,0
805,-118.2245526,34.05483627,1,1,1,0,0,0,0,0,0
525,-118.1870874,34.12110138,1,1,1,0,0,0,0,0,0
